0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
4,1.437,13.143,6.488,7.604,0.567,13.322,9.42,0.91,58.199,0.647,0.289,0.487,0.067,0.067,0.695,0.709,51.738,5.086
4,1.431,6.766,3.932,7.093,0.597,10.655,7.534,0.911,53.456,0.67,0.324,0.498,0.047,0.047,0.671,0.696,33.391,4.086
4,1.28,6.14,1.912,3.39,0.655,10.647,7.529,0.924,62.832,0.663,0.32,0.486,0.063,0.063,0.789,0.696,27.161,3.685
4,1.37,9.965,4.466,6.989,0.525,17.612,12.454,0.908,63.182,0.631,0.305,0.505,0.076,0.076,0.705,0.581,73.161,6.048
4,1.438,15.731,7.509,8.213,0.57,11.521,8.147,0.906,52.808,0.623,0.369,0.463,0.063,0.063,0.686,0.638,38.298,4.376
4,1.307,8.833,3.273,6.17,0.66,9.615,6.799,0.923,58.851,0.67,0.296,0.585,0.085,0.085,0.697,0.833,29.167,3.819
4,1.576,13.167,8.141,9.781,0.553,12.034,8.509,0.904,52.3,0.665,0.283,0.537,0.073,0.073,0.641,0.64,36.506,4.272
4,1.462,12.333,6.471,8.151,0.58,11.698,8.272,0.909,54.779,0.602,0.257,0.633,0.037,0.037,0.718,0.746,35.063,4.187
4,1.353,16.6,6.854,8.188,0.59,9.316,6.587,0.904,47.255,0.639,0.239,0.604,0.044,0.044,0.692,0.632,15.158,2.753
4,1.471,8.667,5.15,8.577,0.808,8.237,5.824,0.954,91.922,0.644,0.388,0.463,0.015,0.015,0.91,0.885,20.346,3.19
4,1.409,9.0,4.55,5.907,0.678,8.871,6.273,0.925,58.228,0.614,0.371,0.524,0.038,0.038,0.752,0.769,23.077,3.397
4,1.353,7.25,3.208,4.554,0.655,7.056,4.99,0.911,44.354,0.629,0.247,0.616,0.0,0.0,0.781,0.611,6.722,1.833
4,1.292,7.378,2.535,5.113,0.572,10.428,7.373,0.904,49.329,0.699,0.293,0.547,0.052,0.052,0.655,0.75,38.25,4.373
4,1.392,10.909,5.086,8.317,0.758,8.307,5.874,0.942,73.556,0.692,0.277,0.518,0.072,0.072,0.892,0.913,19.174,3.096
4,1.321,6.813,2.656,5.605,0.706,7.375,5.215,0.926,54.292,0.651,0.254,0.507,0.113,0.113,0.761,0.722,9.389,2.167
4,1.49,11.406,6.445,7.594,0.578,11.044,7.809,0.907,52.263,0.592,0.301,0.417,0.069,0.069,0.731,0.646,27.138,3.684
4,1.445,12.618,6.384,7.712,0.513,10.622,7.511,0.89,43.561,0.625,0.261,0.556,0.045,0.045,0.623,0.629,27.657,3.719
4,1.383,14.0,6.191,7.667,0.753,9.348,6.61,0.944,79.745,0.617,0.326,0.453,0.116,0.116,0.874,0.806,20.161,3.175
4,1.373,18.067,7.654,10.009,0.565,9.294,6.572,0.898,44.265,0.646,0.234,0.611,0.046,0.046,0.691,0.829,28.195,3.755
4,1.288,9.697,3.384,6.048,0.491,8.777,6.206,0.877,35.903,0.662,0.255,0.524,0.066,0.066,0.561,0.556,16.667,2.887
4,1.518,10.692,6.492,8.047,0.727,8.567,6.058,0.935,66.695,0.662,0.283,0.478,0.043,0.043,0.761,0.615,9.846,2.219
5,1.447,17.0,8.115,11.278,0.847,7.809,5.522,0.963,110.19,0.729,0.21,0.645,0.048,0.048,0.887,0.846,9.308,2.157
4,1.486,13.8,7.321,9.632,0.754,8.853,6.26,0.943,76.257,0.667,0.283,0.565,0.076,0.076,0.859,0.885,20.346,3.19
4,1.387,13.778,6.151,8.872,0.79,8.801,6.223,0.951,89.336,0.669,0.325,0.506,0.048,0.048,0.867,0.889,21.333,3.266
4,1.256,11.452,3.701,5.821,0.53,9.978,7.056,0.892,43.136,0.625,0.347,0.468,0.077,0.077,0.658,0.675,35.117,4.19
4,1.575,13.194,8.138,9.751,0.552,12.021,8.5,0.903,52.114,0.663,0.283,0.537,0.073,0.073,0.641,0.64,36.506,4.272
5,1.51,14.167,7.751,10.667,0.604,9.644,6.819,0.909,50.308,0.682,0.259,0.603,0.029,0.029,0.667,0.667,20.0,3.162
4,1.541,9.8,6.414,8.226,0.796,7.879,5.571,0.95,83.155,0.663,0.323,0.554,0.046,0.046,0.862,0.81,13.762,2.623
4,1.446,14.431,7.097,8.654,0.514,13.933,9.852,0.899,52.861,0.628,0.288,0.515,0.093,0.093,0.656,0.677,60.902,5.518
4,1.445,12.459,6.317,6.905,0.442,12.188,8.618,0.877,41.459,0.586,0.337,0.364,0.108,0.108,0.591,0.6,54.0,5.196
4,1.259,8.591,2.62,4.433,0.614,8.438,5.966,0.907,46.29,0.577,0.413,0.385,0.064,0.064,0.679,0.644,18.689,3.057
4,1.37,10.952,4.842,6.389,0.613,9.297,6.574,0.91,50.05,0.635,0.363,0.5,0.062,0.062,0.664,0.604,19.321,3.108
4,1.358,8.833,3.885,7.117,0.726,7.479,5.288,0.931,59.032,0.708,0.293,0.56,0.027,0.027,0.76,0.773,13.136,2.563
4,1.315,6.5,2.458,4.19,0.748,8.948,6.327,0.942,75.29,0.664,0.284,0.537,0.042,0.042,0.8,0.593,9.481,2.177
4,1.376,9.526,4.358,7.821,0.652,8.771,6.202,0.918,53.2,0.652,0.339,0.517,0.068,0.068,0.703,0.725,21.025,3.242
5,1.525,12.063,7.11,9.675,0.601,14.462,10.226,0.92,67.272,0.63,0.258,0.559,0.052,0.052,0.775,0.755,53.628,5.178
5,1.627,13.909,9.038,10.446,0.719,8.893,6.288,0.934,66.962,0.614,0.255,0.67,0.021,0.021,0.872,0.958,22.042,3.32
4,1.236,8.485,2.301,4.745,0.604,10.1,7.142,0.91,52.122,0.657,0.266,0.505,0.114,0.114,0.663,0.714,25.0,3.536
4,1.336,19.333,7.717,9.655,0.716,7.706,5.449,0.93,58.331,0.578,0.269,0.567,0.075,0.075,0.851,0.778,10.889,2.333
4,1.207,7.25,1.479,3.88,0.609,8.036,5.682,0.904,43.88,0.667,0.345,0.422,0.06,0.06,0.741,0.55,12.1,2.46
4,1.286,7.978,2.698,5.881,0.501,9.605,6.792,0.883,39.39,0.632,0.341,0.457,0.082,0.082,0.599,0.646,32.924,4.057
4,1.52,13.467,7.596,9.138,0.635,15.64,11.059,0.929,78.127,0.64,0.186,0.675,0.028,0.028,0.812,0.833,50.0,5.0
4,1.435,10.303,5.365,6.962,0.535,9.87,6.979,0.893,43.335,0.644,0.274,0.525,0.046,0.046,0.607,0.583,20.417,3.195
4,1.391,5.75,3.07,4.981,0.679,9.215,6.516,0.926,60.298,0.69,0.252,0.598,0.047,0.047,0.748,0.594,11.281,2.375
4,1.324,6.179,2.439,5.148,0.705,9.275,6.559,0.932,66.077,0.642,0.36,0.486,0.045,0.045,0.775,0.65,16.9,2.907
4,1.331,11.471,4.587,7.373,0.567,11.191,7.913,0.905,51.305,0.597,0.313,0.532,0.052,0.052,0.695,0.753,41.438,4.552
4,1.385,16.875,7.336,8.155,0.748,8.693,6.147,0.941,73.407,0.711,0.26,0.563,0.063,0.063,0.802,0.84,17.64,2.97
4,1.386,11.436,5.221,6.634,0.538,11.364,8.036,0.898,48.472,0.643,0.345,0.453,0.077,0.077,0.652,0.606,36.364,4.264
5,1.556,13.526,8.051,10.824,0.514,8.234,5.822,0.88,35.784,0.685,0.364,0.477,0.068,0.068,0.551,0.516,17.016,2.917
4,1.36,14.027,5.932,7.022,0.555,12.642,8.939,0.906,54.452,0.601,0.346,0.474,0.054,0.054,0.712,0.648,45.37,4.763
4,1.313,13.091,5.003,6.623,0.736,8.833,6.246,0.938,70.984,0.618,0.292,0.539,0.022,0.022,0.843,0.885,20.346,3.19
4,1.328,5.806,2.342,3.902,0.55,7.379,5.218,0.885,35.319,0.622,0.313,0.527,0.08,0.08,0.634,0.629,13.829,2.63
4,1.421,15.538,7.235,9.035,0.611,12.289,8.689,0.918,61.69,0.629,0.28,0.579,0.059,0.059,0.752,0.803,45.761,4.783
4,1.402,8.488,4.267,5.759,0.555,10.346,7.316,0.899,46.981,0.658,0.284,0.585,0.013,0.013,0.629,0.615,24.615,3.508
4,1.313,14.333,5.489,6.113,0.558,10.98,7.764,0.902,49.548,0.605,0.329,0.474,0.073,0.073,0.675,0.688,36.481,4.271
4,1.396,17.111,7.557,8.957,0.545,9.573,6.769,0.894,43.315,0.659,0.315,0.404,0.108,0.108,0.606,0.547,19.141,3.094
4,1.349,19.474,7.919,7.307,0.505,13.749,9.722,0.897,51.432,0.622,0.228,0.554,0.096,0.096,0.646,0.724,55.01,5.244
4,1.31,5.267,1.923,4.431,0.696,8.751,6.188,0.928,61.015,0.646,0.304,0.539,0.059,0.059,0.804,0.774,18.581,3.048
4,1.21,4.073,0.272,1.224,0.599,7.738,5.472,0.9,41.355,0.659,0.336,0.482,0.082,0.082,0.691,0.486,8.757,2.092
4,1.431,13.872,6.702,8.966,0.597,13.887,9.819,0.918,64.722,0.621,0.292,0.515,0.045,0.045,0.753,0.745,54.378,5.214
4,1.425,12.944,6.272,7.179,0.579,8.844,6.254,0.9,44.088,0.614,0.28,0.545,0.035,0.035,0.699,0.65,16.9,2.907
4,1.368,10.417,4.615,6.892,0.557,10.793,7.632,0.901,48.821,0.629,0.326,0.475,0.076,0.076,0.682,0.675,35.117,4.19
4,1.366,9.55,4.259,6.78,0.634,8.755,6.191,0.913,50.384,0.665,0.252,0.638,0.039,0.039,0.717,0.781,19.531,3.125
4,1.471,13.867,7.178,9.456,0.673,9.707,6.864,0.926,61.682,0.615,0.195,0.625,0.07,0.07,0.797,0.88,19.36,3.111
4,1.442,13.159,6.559,7.682,0.563,13.548,9.58,0.91,58.301,0.648,0.291,0.493,0.064,0.064,0.693,0.716,55.817,5.283
4,1.388,14.167,6.316,7.45,0.906,8.352,5.906,0.978,190.89,0.671,0.281,0.491,0.105,0.105,0.947,1.0,16.0,2.828
4,1.302,15.6,5.86,7.157,0.494,16.311,11.534,0.899,56.031,0.623,0.297,0.501,0.091,0.091,0.638,0.589,70.104,5.92
5,1.516,11.25,6.681,9.593,0.671,10.067,7.118,0.926,63.119,0.64,0.278,0.569,0.042,0.042,0.813,0.725,21.025,3.242
5,1.485,11.0,6.221,9.443,0.545,9.909,7.006,0.895,44.49,0.633,0.292,0.55,0.057,0.057,0.622,0.721,31.738,3.984
4,1.494,9.667,5.812,8.268,0.661,8.718,6.165,0.92,54.366,0.672,0.299,0.573,0.034,0.034,0.752,0.771,20.829,3.227
4,1.208,12.0,3.348,6.378,0.958,4.695,3.32,0.987,231.001,0.625,0.267,0.667,0.0,0.0,0.933,1.0,4.0,1.414
4,1.408,14.563,6.701,9.109,0.687,10.482,7.412,0.931,68.528,0.614,0.245,0.608,0.063,0.063,0.839,0.886,27.457,3.705
4,1.488,7.813,5.015,6.615,0.728,8.139,5.755,0.934,64.097,0.656,0.305,0.5,0.024,0.024,0.78,0.64,10.24,2.263
4,1.468,12.568,6.638,8.352,0.523,12.29,8.69,0.897,49.479,0.613,0.283,0.555,0.074,0.074,0.649,0.719,49.594,4.98
4,1.288,9.37,3.259,5.601,0.469,9.73,6.88,0.875,37.182,0.682,0.296,0.544,0.044,0.044,0.524,0.54,25.391,3.563
4,1.374,7.808,3.673,6.385,0.719,10.247,7.246,0.938,75.353,0.665,0.341,0.526,0.067,0.067,0.8,0.783,28.174,3.753
4,1.44,7.053,4.156,5.654,0.664,7.688,5.437,0.916,49.237,0.627,0.286,0.631,0.036,0.036,0.714,0.625,9.375,2.165
4,1.32,9.375,3.642,4.33,0.8,6.928,4.899,0.948,75.125,0.627,0.255,0.574,0.064,0.064,0.872,0.75,6.75,1.837
4,1.401,9.621,4.699,7.743,0.602,10.058,7.112,0.91,51.76,0.613,0.345,0.485,0.058,0.058,0.661,0.746,32.814,4.051
5,1.527,9.167,6.007,9.209,0.673,8.641,6.11,0.922,55.951,0.709,0.308,0.513,0.043,0.043,0.718,0.75,20.25,3.182
4,1.389,7.714,3.807,6.568,0.633,10.407,7.359,0.918,57.879,0.648,0.343,0.526,0.063,0.063,0.703,0.667,26.667,3.651
5,1.521,10.636,6.51,9.365,0.803,8.69,6.145,0.954,94.306,0.675,0.228,0.557,0.076,0.076,0.873,0.833,12.5,2.5
4,1.374,15.545,6.689,7.553,0.737,9.635,6.813,0.941,76.591,0.649,0.279,0.55,0.072,0.072,0.811,0.839,21.806,3.302
4,1.258,15.5,5.3,6.39,0.57,9.519,6.731,0.9,45.693,0.595,0.422,0.416,0.066,0.066,0.711,0.729,37.157,4.31
4,1.574,13.462,8.237,9.821,0.554,10.37,7.333,0.899,47.028,0.631,0.281,0.557,0.063,0.063,0.643,0.823,41.952,4.58
4,1.259,8.095,2.421,4.505,0.624,8.13,5.749,0.908,46.041,0.618,0.267,0.505,0.019,0.019,0.714,0.571,9.143,2.138
4,1.277,6.889,2.17,4.905,0.555,9.769,6.908,0.897,44.98,0.648,0.348,0.512,0.025,0.025,0.647,0.514,18.514,3.043
4,1.386,13.283,5.948,7.634,0.588,14.524,10.27,0.917,65.091,0.661,0.349,0.517,0.062,0.062,0.705,0.716,72.348,6.014
4,1.444,12.438,6.298,8.374,0.554,13.547,9.579,0.908,57.078,0.623,0.269,0.532,0.099,0.099,0.71,0.75,56.25,5.303
4,1.222,18.0,5.852,7.666,0.944,4.007,2.833,0.98,140.436,0.667,0.167,0.583,0.083,0.083,0.917,0.5,0.5,0.5
4,1.482,11.36,6.333,8.433,0.599,10.088,7.133,0.909,51.398,0.623,0.305,0.508,0.102,0.102,0.695,0.63,21.407,3.272
4,1.543,11.103,6.953,8.776,0.615,11.034,7.802,0.916,57.509,0.63,0.33,0.473,0.054,0.054,0.773,0.806,43.522,4.665
4,1.413,10.382,5.136,7.441,0.518,12.387,8.759,0.896,49.283,0.639,0.299,0.537,0.055,0.055,0.619,0.56,34.138,4.131
4,1.442,20.385,9.37,9.153,0.645,10.504,7.428,0.921,60.349,0.657,0.247,0.506,0.092,0.092,0.764,0.721,22.349,3.343
4,1.421,14.25,6.736,9.925,0.833,8.898,6.292,0.962,113.743,0.684,0.269,0.615,0.038,0.038,0.885,0.952,19.048,3.086
4,1.308,10.563,3.96,6.491,0.692,9.0,6.364,0.928,61.672,0.645,0.358,0.477,0.101,0.101,0.798,0.769,23.077,3.397
4,1.426,20.143,9.087,10.591,0.688,8.169,5.776,0.924,55.95,0.624,0.295,0.602,0.045,0.045,0.852,0.962,24.038,3.467
4,1.368,12.667,5.497,7.55,0.521,12.009,8.492,0.896,48.465,0.617,0.235,0.567,0.064,0.064,0.662,0.662,33.779,4.11
4,1.313,5.927,2.212,3.914,0.551,8.596,6.078,0.892,40.302,0.613,0.315,0.564,0.034,0.034,0.631,0.468,10.298,2.269
5,1.563,13.474,8.102,10.928,0.508,8.125,5.745,0.878,34.964,0.684,0.366,0.48,0.069,0.069,0.543,0.516,17.016,2.917
4,1.307,8.529,3.153,6.171,0.578,14.12,9.984,0.914,62.27,0.66,0.312,0.543,0.069,0.069,0.66,0.569,39.837,4.463
4,1.516,15.174,8.214,9.846,0.622,11.616,8.214,0.919,60.911,0.648,0.265,0.54,0.119,0.119,0.735,0.783,36.817,4.29
4,1.449,10.394,5.562,6.454,0.621,11.501,8.132,0.918,60.33,0.618,0.368,0.448,0.057,0.057,0.788,0.692,37.385,4.323
4,1.178,7.115,1.09,2.571,0.6,8.161,5.771,0.902,43.419,0.638,0.305,0.415,0.119,0.119,0.686,0.472,8.028,2.003
4,1.283,9.081,3.088,4.689,0.512,9.383,6.635,0.885,39.57,0.61,0.361,0.541,0.029,0.029,0.624,0.662,32.446,4.028
4,1.252,7.056,1.935,4.785,0.709,7.986,5.647,0.929,58.797,0.677,0.326,0.477,0.116,0.116,0.791,0.857,20.571,3.207
4,1.222,10.211,2.808,5.289,0.68,9.477,6.701,0.927,61.918,0.593,0.278,0.617,0.052,0.052,0.783,0.719,16.531,2.875
4,1.325,12.6,4.964,6.385,0.738,8.285,5.858,0.937,67.651,0.627,0.266,0.57,0.013,0.013,0.861,0.952,19.048,3.086
4,1.309,11.0,4.147,7.177,0.745,7.818,5.528,0.938,66.105,0.664,0.274,0.521,0.068,0.068,0.877,0.9,16.2,2.846
4,1.302,19.333,7.31,9.463,0.741,7.985,5.646,0.937,66.305,0.578,0.239,0.627,0.06,0.06,0.851,0.875,12.25,2.475
4,1.433,18.087,8.37,9.846,0.603,12.306,8.702,0.916,60.429,0.649,0.3,0.511,0.063,0.063,0.73,0.741,44.444,4.714
4,1.463,10.8,5.885,8.171,0.75,7.794,5.511,0.939,67.127,0.648,0.314,0.543,0.014,0.014,0.843,0.864,16.409,2.864
5,1.589,10.556,7.282,11.41,0.716,6.977,4.933,0.927,53.247,0.716,0.279,0.529,0.0,0.0,0.735,0.789,11.842,2.433
4,1.252,6.043,1.538,3.75,0.554,6.531,4.618,0.88,31.945,0.554,0.416,0.481,0.026,0.026,0.688,0.563,10.125,2.25
4,1.318,15.455,5.986,7.723,0.676,8.82,6.237,0.924,57.601,0.647,0.345,0.5,0.1,0.1,0.782,0.763,22.132,3.327
4,1.488,8.65,5.347,7.404,0.65,12.096,8.553,0.926,68.165,0.673,0.288,0.511,0.086,0.086,0.734,0.761,38.821,4.406
4,1.248,12.556,4.031,6.434,0.637,9.579,6.773,0.917,54.799,0.602,0.228,0.669,0.051,0.051,0.735,0.774,18.581,3.048
4,1.377,12.711,5.613,7.403,0.505,11.102,7.851,0.89,44.254,0.642,0.29,0.558,0.032,0.032,0.603,0.722,46.944,4.845
5,1.512,13.667,7.584,12.384,0.854,5.466,3.865,0.957,79.89,0.683,0.143,0.75,0.0,0.0,0.929,1.0,4.0,1.414
4,1.336,22.9,9.109,8.346,0.572,8.657,6.121,0.897,42.554,0.576,0.273,0.629,0.008,0.008,0.78,0.861,26.694,3.653
4,1.395,12.176,5.623,7.967,0.551,18.326,12.958,0.915,68.916,0.634,0.298,0.506,0.071,0.071,0.738,0.636,84.636,6.505
4,1.407,13.111,6.123,7.904,0.746,8.101,5.728,0.939,68.337,0.619,0.301,0.562,0.055,0.055,0.849,0.864,16.409,2.864
5,1.667,9.8,7.899,10.674,0.599,7.258,5.132,0.897,39.07,0.776,0.202,0.632,0.026,0.026,0.623,0.652,9.783,2.212
4,1.412,10.2,5.047,9.034,0.735,7.426,5.251,0.934,60.623,0.647,0.348,0.5,0.015,0.015,0.833,1.0,23.0,3.391
5,1.58,10.077,6.986,10.44,0.802,9.174,6.487,0.955,97.901,0.664,0.23,0.517,0.057,0.057,0.885,0.95,18.05,3.004
4,1.267,9.357,3.012,5.891,0.66,10.688,7.558,0.925,63.983,0.676,0.305,0.469,0.062,0.062,0.78,0.741,29.63,3.849
4,1.261,12.267,4.072,4.668,0.671,12.876,9.105,0.933,76.132,0.649,0.301,0.477,0.1,0.1,0.803,0.778,43.556,4.667
4,1.176,7.1,1.056,2.508,0.683,8.14,5.756,0.923,54.912,0.599,0.294,0.553,0.047,0.047,0.824,0.88,19.36,3.111
